,X,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.tip,notes
1,1,3314,Acanth_chlris_O3RIFL,Acanthisitta chloris,?,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta chloris,Acanthisittidae,Acanthisitta_chloris,outgroup
2,2,3314,Acanth_chlris_O3RIFL,Acanthisitta chloris,?,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta chloris,Acanthisittidae,Acanthisitta_chloris,outgroup
3,3,1597,Acroba_fon_L26329,Acrobatornis fonsecai,-,Acrobatornis fonsecai,Acrobatornis fonsecai,Acrobatornis fonsecai,Furnariidae,NA,
4,4,884,Acropt_ortnyx_L30027,Acropternis orthonyx,infuscatus,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,Acropternis_orthonyx,
5,5,884,Acropt_ortnyx_L30027,Acropternis orthonyx,infuscatus,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,Acropternis_orthonyx,
6,6,200000,Acropt_ortnyx_PhAMC1246,Acropternis orthonyx,orthonyx,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,Acropternis_orthonyx,
7,7,884,Acropt_ortnyx_L30027,Acropternis orthonyx,infuscatus,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,Acropternis_orthonyx,
8,8,200000,Acropt_ortnyx_PhAMC1246,Acropternis orthonyx,orthonyx,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,Acropternis_orthonyx,
9,9,2583,Agrior_albcau_L72330,Agriornis albicauda,albicauda,Agriornis albicauda,Agriornis albicauda,Agriornis albicauda,Tyrannidae,Agriornis_albicauda,
10,10,2583,Agrior_albcau_L72330,Agriornis albicauda,albicauda,Agriornis albicauda,Agriornis albicauda,Agriornis albicauda,Tyrannidae,Agriornis_albicauda,
11,11,2583,Agrior_albcau_L72330,Agriornis albicauda,albicauda,Agriornis albicauda,Agriornis albicauda,Agriornis albicauda,Tyrannidae,Agriornis_albicauda,
12,12,2585,Agrior_livid_YPM83046,Agriornis lividus,fortis,Agriornis lividus,Agriornis lividus,Agriornis lividus,Tyrannidae,Agriornis_lividus,
13,13,2585,Agrior_livid_YPM83046,Agriornis lividus,fortis,Agriornis lividus,Agriornis lividus,Agriornis lividus,Tyrannidae,Agriornis_lividus,
14,14,2587,Agrior_micro_A13502,Agriornis micropterus,micropterus,Agriornis micropterus,Agriornis micropterus,Agriornis micropterus,Tyrannidae,Agriornis_micropterus,
15,15,2587,Agrior_micro_A13502,Agriornis micropterus,micropterus,Agriornis micropterus,Agriornis micropterus,Agriornis micropterus,Tyrannidae,Agriornis_micropterus,
16,16,2581,Agrior_montan_L6710,Agriornis montanus,intermedius,Agriornis montanus,Agriornis montanus,Agriornis montanus,Tyrannidae,Agriornis_montanus,
17,17,2581,Agrior_montan_L6710,Agriornis montanus,intermedius,Agriornis montanus,Agriornis montanus,Agriornis montanus,Tyrannidae,Agriornis_montanus,
18,18,2589,Agrior_murnus_K11848,Agriornis murinus,-,Agriornis murinus,Agriornis murinus,Agriornis murinus,Tyrannidae,Agriornis_murinus,
19,19,2589,Agrior_murnus_K11848,Agriornis murinus,-,Agriornis murinus,Agriornis murinus,Agriornis murinus,Tyrannidae,Agriornis_murinus,
20,20,2589,Agrior_murnus_K11848,Agriornis murinus,-,Agriornis murinus,Agriornis murinus,Agriornis murinus,Tyrannidae,Agriornis_murinus,
21,21,650,Akleto_goeld_LSU21212,Akletos goeldii,-,Akletos goeldii,Akletos goeldii,Akletos goeldii,Thamnophilidae,Myrmeciza_goeldii,
22,22,200076,Akleto_goeld_LSU9293,Akletos goeldii,-,Akletos goeldii,Akletos goeldii,Akletos goeldii,Thamnophilidae,Myrmeciza_goeldii,
23,23,650,Akleto_goeld_LSU21212,Akletos goeldii,-,Akletos goeldii,Akletos goeldii,Akletos goeldii,Thamnophilidae,Myrmeciza_goeldii,
24,24,200076,Akleto_goeld_LSU9293,Akletos goeldii,-,Akletos goeldii,Akletos goeldii,Akletos goeldii,Thamnophilidae,Myrmeciza_goeldii,
25,25,647,Akleto_melcep_L43013,Akletos melanoceps,-,Akletos melanoceps,Akletos melanoceps,Akletos melanoceps,Thamnophilidae,Myrmeciza_melanoceps,
26,26,647,Akleto_melcep_L43013,Akletos melanoceps,-,Akletos melanoceps,Akletos melanoceps,Akletos melanoceps,Thamnophilidae,Myrmeciza_melanoceps,
27,27,647,Akleto_melcep_L43013,Akletos melanoceps,-,Akletos melanoceps,Akletos melanoceps,Akletos melanoceps,Thamnophilidae,Myrmeciza_melanoceps,
28,28,2637,Alectr_risora_K3430,Alectrurus risora,-,Alectrurus risora,Alectrurus risora,Alectrurus risora,Tyrannidae,Alectrurus_risora,
29,29,2637,Alectr_risora_K3430,Alectrurus risora,-,Alectrurus risora,Alectrurus risora,Alectrurus risora,Tyrannidae,Alectrurus_risora,
30,30,2637,Alectr_risora_K3430,Alectrurus risora,-,Alectrurus risora,Alectrurus risora,Alectrurus risora,Tyrannidae,Alectrurus_risora,
31,31,2635,Alectr_tricol_K3596,Alectrurus tricolor,-,Alectrurus tricolor,Alectrurus tricolor,Alectrurus tricolor,Tyrannidae,Alectrurus_tricolor,
32,32,2635,Alectr_tricol_K3596,Alectrurus tricolor,-,Alectrurus tricolor,Alectrurus tricolor,Alectrurus tricolor,Tyrannidae,Alectrurus_tricolor,
33,33,2635,Alectr_tricol_K3596,Alectrurus tricolor,-,Alectrurus tricolor,Alectrurus tricolor,Alectrurus tricolor,Tyrannidae,Alectrurus_tricolor,
34,34,639,Ammona_pelzel_L7523,Ammonastes pelzelni,-,Ammonastes pelzelni,Ammonastes pelzelni,Ammonastes pelzelni,Thamnophilidae,Myrmeciza_pelzelni,
35,35,639,Ammona_pelzel_L7523,Ammonastes pelzelni,-,Ammonastes pelzelni,Ammonastes pelzelni,Ammonastes pelzelni,Thamnophilidae,Myrmeciza_pelzelni,
36,36,639,Ammona_pelzel_L7523,Ammonastes pelzelni,-,Ammonastes pelzelni,Ammonastes pelzelni,Ammonastes pelzelni,Thamnophilidae,Myrmeciza_pelzelni,
37,37,2933,Ampide_tschu_L33807,Ampelioides tschudii,-,Ampelioides tschudii,Ampelioides tschudii,Ampelioides tschudii,Cotingidae,Ampelioides_tschudii,
38,38,2933,Ampide_tschu_L33807,Ampelioides tschudii,-,Ampelioides tschudii,Ampelioides tschudii,Ampelioides tschudii,Cotingidae,Ampelioides_tschudii,
39,39,2933,Ampide_tschu_L33807,Ampelioides tschudii,-,Ampelioides tschudii,Ampelioides tschudii,Ampelioides tschudii,Cotingidae,Ampelioides_tschudii,
40,40,2947,Ampion_rubcri_L32291,Ampelion rubrocristatus,-,Ampelion rubrocristatus,Ampelion rubrocristatus,Ampelion rubrocristatus,Cotingidae,Ampelion_rubrocristatus,
41,41,2947,Ampion_rubcri_L32291,Ampelion rubrocristatus,-,Ampelion rubrocristatus,Ampelion rubrocristatus,Ampelion rubrocristatus,Cotingidae,Ampelion_rubrocristatus,
42,42,2949,Ampion_rufax_L1673,Ampelion rufaxilla,rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Cotingidae,Ampelion_rufaxilla,
43,43,2949,Ampion_rufax_L1673,Ampelion rufaxilla,rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Cotingidae,Ampelion_rufaxilla,
44,44,2949,Ampion_rufax_L1673,Ampelion rufaxilla,rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Cotingidae,Ampelion_rufaxilla,
45,45,662,Amporn_gricep_L66366,Ampelornis griseiceps,-,Ampelornis griseiceps,Ampelornis griseiceps,Ampelornis griseiceps,Thamnophilidae,Myrmeciza_griseiceps,
46,46,662,Amporn_gricep_L66366,Ampelornis griseiceps,-,Ampelornis griseiceps,Ampelornis griseiceps,Ampelornis griseiceps,Thamnophilidae,Myrmeciza_griseiceps,
47,47,662,Amporn_gricep_L66366,Ampelornis griseiceps,-,Ampelornis griseiceps,Ampelornis griseiceps,Ampelornis griseiceps,Thamnophilidae,Myrmeciza_griseiceps,
48,48,1392,Anabac_amarot_L35557,Anabacerthia amaurotis,-,Anabacerthia amaurotis,Anabacerthia amaurotis,Anabacerthia amaurotis,Furnariidae,Anabacerthia_amaurotis,
49,49,1392,Anabac_amarot_L35557,Anabacerthia amaurotis,-,Anabacerthia amaurotis,Anabacerthia amaurotis,Anabacerthia amaurotis,Furnariidae,Anabacerthia_amaurotis,
50,50,1392,Anabac_amarot_L35557,Anabacerthia amaurotis,-,Anabacerthia amaurotis,Anabacerthia amaurotis,Anabacerthia amaurotis,Furnariidae,Anabacerthia_amaurotis,
51,51,1394,Anabac_lichte_L25851,Anabacerthia lichtensteini,-,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Furnariidae,Philydor_lichtensteini,
52,52,1394,Anabac_lichte_L25851,Anabacerthia lichtensteini,-,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Furnariidae,Philydor_lichtensteini,
53,53,1394,Anabac_lichte_L25851,Anabacerthia lichtensteini,-,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Furnariidae,Philydor_lichtensteini,
54,54,1390,Anabac_rufata_L951,Anabacerthia ruficaudata,ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Furnariidae,Philydor_ruficaudatum,
55,55,1390,Anabac_rufata_L951,Anabacerthia ruficaudata,ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Furnariidae,Philydor_ruficaudatum,
56,56,1390,Anabac_rufata_L951,Anabacerthia ruficaudata,ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Anabacerthia ruficaudata,Furnariidae,Philydor_ruficaudatum,
57,57,1386,Anabac_strcol_H111,Anabacerthia striaticollis,striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,Furnariidae,Anabacerthia_striaticollis,
58,58,1386,Anabac_strcol_H111,Anabacerthia striaticollis,striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,Furnariidae,Anabacerthia_striaticollis,
59,59,1388,Anabac_varcep_L18075,Anabacerthia variegaticeps,variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Furnariidae,Anabacerthia_variegaticeps,
60,60,1388,Anabac_varcep_L18075,Anabacerthia variegaticeps,variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Furnariidae,Anabacerthia_variegaticeps,
61,61,1388,Anabac_varcep_L18075,Anabacerthia variegaticeps,variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Furnariidae,Anabacerthia_variegaticeps,
62,62,1358,Anabaz_dorsa_L2046,Anabazenops dorsalis,-,Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops dorsalis,Furnariidae,Anabazenops_dorsalis,
63,63,1358,Anabaz_dorsa_L2046,Anabazenops dorsalis,-,Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops dorsalis,Furnariidae,Anabazenops_dorsalis,
64,64,1358,Anabaz_dorsa_L2046,Anabazenops dorsalis,-,Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops dorsalis,Furnariidae,Anabazenops_dorsalis,
65,65,1360,Anabaz_fuscus_SP94379,Anabazenops fuscus,-,Anabazenops fuscus,Anabazenops fuscus,Anabazenops fuscus,Furnariidae,Anabazenops_fuscus,
66,66,1360,Anabaz_fuscus_SP94379,Anabazenops fuscus,-,Anabazenops fuscus,Anabazenops fuscus,Anabazenops fuscus,Furnariidae,Anabazenops_fuscus,
67,67,1360,Anabaz_fuscus_SP94379,Anabazenops fuscus,-,Anabazenops fuscus,Anabazenops fuscus,Anabazenops fuscus,Furnariidae,Anabazenops_fuscus,
68,68,1934,Anaire_alpin_NM34088,Anairetes alpinus,alpinus,Anairetes alpinus,Anairetes alpinus,Anairetes alpinus,Tyrannidae,Anairetes_alpinus,
69,69,1934,Anaire_alpin_NM34088,Anairetes alpinus,alpinus,Anairetes alpinus,Anairetes alpinus,Anairetes alpinus,Tyrannidae,Anairetes_alpinus,
70,70,1940,Anaire_ferna_CM120730,Anairetes fernandezianus,?,Anairetes fernandezianus,Anairetes fernandezianus,Anairetes fernandezianus,Tyrannidae,Anairetes_fernandezianus,
71,71,1940,Anaire_ferna_CM120730,Anairetes fernandezianus,?,Anairetes fernandezianus,Anairetes fernandezianus,Anairetes fernandezianus,Tyrannidae,Anairetes_fernandezianus,
72,72,1936,Anaire_flaviro_CU52375,Anairetes flavirostris,flavirostris,Anairetes flavirostris,Anairetes flavirostris,Anairetes flavirostris,Tyrannidae,Anairetes_flavirostris,
73,73,1936,Anaire_flaviro_CU52375,Anairetes flavirostris,flavirostris,Anairetes flavirostris,Anairetes flavirostris,Anairetes flavirostris,Tyrannidae,Anairetes_flavirostris,
74,74,1930,Anaire_nigrosta_F391921,Anairetes nigrocristatus,-,Anairetes nigrocristatus,Anairetes nigrocristatus,Anairetes nigrocristatus,Tyrannidae,Anairetes_nigrocristatus,
75,75,1930,Anaire_nigrosta_F391921,Anairetes nigrocristatus,-,Anairetes nigrocristatus,Anairetes nigrocristatus,Anairetes nigrocristatus,Tyrannidae,Anairetes_nigrocristatus,
76,76,1930,Anaire_nigrosta_F391921,Anairetes nigrocristatus,-,Anairetes nigrocristatus,Anairetes nigrocristatus,Anairetes nigrocristatus,Tyrannidae,Anairetes_nigrocristatus,
77,77,1938,Anaire_parlus_A12192,Anairetes parulus,parulus,Anairetes parulus,Anairetes parulus,Anairetes parulus,Tyrannidae,Anairetes_parulus,
78,78,1938,Anaire_parlus_A12192,Anairetes parulus,parulus,Anairetes parulus,Anairetes parulus,Anairetes parulus,Tyrannidae,Anairetes_parulus,
79,79,1938,Anaire_parlus_A12192,Anairetes parulus,parulus,Anairetes parulus,Anairetes parulus,Anairetes parulus,Tyrannidae,Anairetes_parulus,
80,80,1932,Anaire_regide_LSU72421,Anairetes reguloides,reguloides,Anairetes reguloides,Anairetes reguloides,Anairetes reguloides,Tyrannidae,Anairetes_reguloides,
