"","species","dr.statistic","tb.statistic","nh.statistic","div","elev.mid","elev.max","elev.range","lat.mid","lat.max","lat.range","temp","temp.stability","temp.seasonality","min.temp.cold.q","precip","precip.stability","precip.seasonality","min.precip.dry.q"
"Syna_azara_L8177","Syna_azara_L8177",-0.942099805251625,0.238472657909192,15.3037421986273,560,1850,3100,2500,7.26580810550013,10.2631225590001,5.99462890699997,168.0279504,48.43895516,1259.437068,100.6239161,1349.94881,240.6212221,55.66423565,138.3273402
"Syna_cours_L58452","Syna_cours_L58452",-0.942099805251625,0.238472657909192,15.3037421986273,131,2975,3500,1050,13.9442132214999,12.9139066059999,2.0606132309999,99.88656197,72.88656197,1174.966573,24.89656459,531.2356807,13.76431932,82.00334362,14.03006013
"Syna_front_L52049","Syna_front_L52049",-1.35103397030583,1.11869314522879,15.7715566385815,377,1250,2500,2500,20.0887451174999,2.36578369199992,35.445922851,232.0732822,35.14645617,2370.06487,150.4288488,1201.950094,94.58528671,66.08161571,63.34628814
"Syna_albes_MPEGMT50","Syna_albes_MPEGMT50",-1.43999893141813,1.32956579605819,15.7955083219148,582,1050,2100,2100,5.51211547850014,12.4639282230002,13.9036254890001,237.1890896,34.21917189,1824.54758,169.1787839,1533.050093,149.0686453,63.00188636,93.4328859
"Syna_alblar_L44453","Syna_alblar_L44453",-1.43999893141813,1.32956579605819,15.7955083219148,418,1050,2100,2100,5.33212280249981,2.87847900400021,16.421203613,245.1153836,30.52726008,493.8918738,204.5271497,2589.545337,223.1397272,30.85603889,365.3913676
"Syna_spixi_AMNRTC349","Syna_spixi_AMNRTC349",-1.49218691704716,1.33120413064298,16.1950174422107,287,1025,2050,2050,20.3652954099999,12.9078979489998,14.9147949220001,194.6152724,33.99447095,3368.140247,101.5286439,1448.337753,116.4425212,31.65793121,221.2130672
"Syna_hypspo_KU3122","Syna_hypspo_KU3122",-1.49218691704716,1.33120413064298,16.1950174422107,401,700,1400,1400,8.05645072499993,3.63128662099996,8.85032820799994,250.7429812,37.61907593,1192.940683,187.3702278,1453.288624,94.42451116,70.77071009,55.13994108
"Syna_hellm_F392830","Syna_hellm_F392830",-1.71303779894313,1.63411382802097,17.0814684786708,118,300,400,200,9.62723635249986,4.65380859299984,9.94685551900006,255.6388851,52.89606692,1286.035868,190.5284094,659.5608406,84.06286029,79.84079947,22.00476205
"Syna_whiney_SP86013","Syna_whiney_SP86013",-0.556839817018357,0.0953674508915776,15.0786883458239,267,700,1400,1400,22.7776489259999,17.7326049809999,10.09008789,192.2720918,42.51067631,2362.010836,107.4909255,1580.233111,127.1042672,52.26325404,162.5427444
"Syna_rufcap_L25955","Syna_rufcap_L25955",-0.556839817018357,0.0953674508915776,15.0786883458239,267,700,1400,1400,22.7776489259999,17.7326049809999,10.09008789,208.7240252,37.87216151,2545.063225,122.4234128,1535.289494,113.1789615,45.71657092,179.677029
"Syna_infata_SP85754","Syna_infata_SP85754",-0.871391509598253,0.573466282601676,15.544642524018,131,75,150,150,8.29334455699987,6.93800747299991,2.71067416799992,247.7215003,46.01323723,1097.83749,202.3799429,1373.123917,71.54234075,58.71571858,96.99424801
"Syna_macco_LSUMZ55245","Syna_macco_LSUMZ55245",-1.10063096633055,0.791949664256939,16.0194782317428,270,950,1900,1900,3.79562855250018,6.91220417900013,6.23315125299991,243.9064659,36.97200848,675.9476157,206.5916114,2524.61985,218.2786152,49.10388303,196.6361442
"Syna_caban_L2013","Syna_caban_L2013",-1.33616559876571,1.08809791418891,16.5127561507336,478,700,1400,1400,12.6784667969999,7.95782470699982,9.44128418000018,229.0671581,36.10219757,992.9479934,169.1900205,2508.962137,422.3351371,46.15501764,280.3900061
"Syna_moesta_LSUMZ44663","Syna_moesta_LSUMZ44663",-1.53476468259448,1.19810027472844,17.0143907442793,410,800,1600,1600,0.655944823999846,5.31768798900021,11.9472656260001,236.6932874,36.36257359,579.3394457,194.1475429,3171.282587,475.0026188,25.23835862,497.4684799
"Syna_uniufa_H1668","Syna_uniufa_H1668",-1.19281866019525,0.944562492640799,15.7061808317958,519,2500,3300,1600,2.99652099650015,10.9503173830002,15.9075927730001,142.0174679,61.63612245,466.0027405,92.99398024,1867.697097,347.4715157,37.45637706,235.1732033
"Syna_casnea_AMNHDOT5051","Syna_casnea_AMNHDOT5051",-1.19281866019525,0.944562492640799,15.7061808317958,128,1750,2200,900,10.3948059085002,10.5261230470002,0.262634277,178.0384538,37.61421138,445.885861,141.3428019,1027.954887,118.6763671,59.28084509,47.44754819
"Syna_fusufa_H483","Syna_fusufa_H483",-1.39153830870822,1.11357117783854,16.1590943777198,129,75,150,150,10.9046936035001,11.2011108400001,0.592834473,157.0361171,36.30997604,382.970369,117.3058677,1766.822293,354.8056951,62.96784609,62.99962466
"Syna_rutans_MPEG440","Syna_rutans_MPEG440",-1.30151753809766,1.1043053855282,15.7418007984624,466,600,1200,1200,3.0278930660001,8.28631591800013,10.516845704,250.0336808,32.42588274,589.0116223,210.3651304,2376.2368,191.3133357,48.42657841,235.887028
"Syna_cherr_L46223","Syna_cherr_L46223",-1.30151753809766,1.1043053855282,15.7418007984624,403,650,1100,900,4.95198052299986,1.32453639800019,12.5530338420001,244.5709119,34.59650389,666.0280049,197.8305952,2061.732272,134.803504,66.20840551,63.59878647
"Syna_cinmom_Ph1278","Syna_cinmom_Ph1278",-1.46617022054909,1.29974823951855,16.1805826190991,265,1000,2000,2000,10.4990234375002,11.3461303710002,1.6942138670001,216.8755285,41.44456015,487.9036956,177.0296172,1552.679812,224.6326802,50.62523351,111.0470463
"Syna_cande_COPML800","Syna_cande_COPML800",-1.26225826437721,1.08059766194579,15.7192622317958,203,550,1100,1100,11.3228149415001,12.4639282230002,2.2822265630002,263.3202875,30.48373927,573.1942965,223.1607797,1116.441376,248.062477,61.99000844,48.50896552
"Syna_eryrax_L60803","Syna_eryrax_L60803",-1.26225826437721,1.08059766194579,15.7192622317958,92,375,750,750,18.6174926760002,21.6234741210002,6.01196289,254.5179202,38.23966938,1681.730708,193.6656823,1767.440386,569.2266359,63.33480931,118.455298
"Syna_kolla_SB14131","Syna_kolla_SB14131",-1.41593656633661,1.23103577612562,16.1597043777198,182,50,100,100,3.46670532200011,3.99749755800002,1.06158447199982,272.4562338,43.8110725,1090.289113,229.623584,1436.718261,124.1264807,86.37249642,62.65616771
"Syna_tithys_LSU66917","Syna_tithys_LSU66917",-1.57192549130721,1.43012175490005,16.6145232840669,122,500,1000,1000,2.86811003449989,0.511920156999963,4.71237975499986,234.9871143,19.21745136,638.3556152,185.2038374,767.942753,103.3730869,112.7631405,10.85540222
"Syna_bracura_ICN28402","Syna_bracura_ICN28402",-1.63452801447368,1.4523854264368,17.0509735538472,315,1000,2000,2000,6.43594360350014,16.0270996090001,19.182312011,242.917121,28.818335,498.7812617,209.2370295,2923.71485,910.2039702,50.99920487,321.2140573
"Syna_subdic_IAvHBT9738","Syna_subdic_IAvHBT9738",-1.63452801447368,1.4523854264368,17.0509735538472,148,2200,3200,2000,5.29840087850022,6.34051513600019,2.08422851499995,132.597251,74.55217592,238.2059238,88.08428929,1230.758637,177.1903773,38.58887346,133.3553564
"Syna_alblor_L37894","Syna_alblor_L37894",-0.938308136166009,-0.329966246546876,16.7698663765985,200,500,1000,1000,12.1616133059999,9.26322905299986,5.79676850600004,255.7505946,27.22799142,1694.91412,174.8902465,1316.271568,61.18653904,65.91810305,49.4240961
"Syna_gujsis_A6193","Syna_gujsis_A6193",-0.938308136166009,-0.329966246546876,16.7698663765985,504,650,1300,1300,3.51977539050012,9.27008056700015,11.5006103530001,251.0590446,31.87889723,655.5836357,208.1148537,2213.165082,169.7678782,53.84484871,169.0785514
"Syna_marica_L32940","Syna_marica_L32940",-1.47986664080301,1.17207059745533,17.387209391083,188,1150,1850,1400,5.00093961749994,4.52319335899995,0.95549251699998,226.2180688,44.46274966,702.4705914,164.991141,908.5589803,212.3004307,27.19078207,139.4443537
"Syna_scuata_MZU94627","Syna_scuata_MZU94627",-1.34097460543223,0.736918102715883,17.3433945833907,377,850,1700,1700,8.68713849799991,2.64410400399993,12.086068988,247.6053956,40.41806953,1364.839071,181.2435988,1292.243998,96.15821291,76.76483884,34.82819225
"Syna_cincen_ARTC326","Syna_cincen_ARTC326",-1.34097460543223,0.736918102715883,17.3433945833907,272,575,1150,1150,26.1044006349999,18.4799194339998,15.2489624020002,202.0568835,35.54639026,3023.105271,111.3688433,1538.630071,112.9620623,33.84678837,222.1515571
"Syna_zimme_L44781","Syna_zimme_L44781",-1.47394852351852,1.11439803556224,17.8123743285725,22,2450,2800,700,9.7837524414999,9.46630859399983,0.63488769500017,132.7032342,41.92545642,403.2863587,86.69599313,451.0122424,39.54100188,111.9247636,2.168338001
"Syna_stirax_P19031","Syna_stirax_P19031",-1.47394852351852,1.11439803556224,17.8123743285725,198,300,600,600,2.67285156249997,0.70031738299997,3.945068359,237.7706285,12.17747929,1203.010984,181.9105568,258.0247381,31.54278346,133.5908084,5.487438842
"Syna_hypdri_L49709","Syna_hypdri_L49709",-1.73785773971832,1.36850913749579,18.427567717263,73,2325,3000,1350,7.61431884799987,6.7670288089999,1.69458007799994,137.3352283,70.75862659,380.6615095,73.61305389,829.6157036,101.2446232,62.24495158,40.21533249
"Certhxis_cinmeus_SB04092","Certhxis_cinmeus_SB04092",-1.69704209073095,1.33928817970652,18.3943875640372,573,250,500,500,10.7692871099999,12.6311035150002,46.8007812500001,245.2050395,33.18093204,1800.292168,179.3676526,1507.943195,122.3297738,58.32023161,110.8381767
"Certhxis_mustel_L45889","Certhxis_mustel_L45889",-1.69704209073095,1.33928817970652,18.3943875640372,372,75,150,150,5.9548034664999,0.598510741999917,10.712585449,256.5334912,33.82977972,465.042482,221.9113495,2450.328426,176.0432152,41.23746275,270.230358
"Syna_proqua_L43083","Syna_proqua_L43083",-1.76574319084202,1.52444565927767,18.4267321890372,369,600,1200,1200,5.81198120099987,0.182128906000116,11.9882202139999,252.5409972,30.86782723,435.9679944,215.8507389,2494.567267,172.6721143,33.76057451,336.6643906
"Schoeni_phrlus_F334448","Schoeni_phrlus_F334448",-1.76574319084202,1.52444565927767,18.4267321890372,340,250,500,500,20.0517827735,4.51048693399997,31.0825916789999,219.9747138,26.14272497,3377.735463,120.9168536,1230.875383,80.73727258,45.71956147,129.0293127
"Pseusth_cacto_L103911","Pseusth_cacto_L103911",-1.24123844362687,0.581291170334482,18.130461276047,54,1250,2400,2300,9.20540618449988,7.73460387199992,2.94160462499988,150.5781138,27.23905996,1039.664591,85.24792514,124.5327029,18.69763873,126.7811556,1.131520885
"Pseusth_stechi_APRS1782","Pseusth_stechi_APRS1782",-1.24123844362687,0.581291170334482,18.130461276047,117,1750,3000,2500,31.4405563724999,22.061721927,18.7576688909999,125.9999965,26.95775478,4980.848001,-8.789321436,305.0116328,54.81334122,81.01431983,15.14032686
"Pseusth_patag_L56798","Pseusth_patag_L56798",-1.63538737323641,0.846679526400997,18.8409880271795,68,350,700,700,41.5422363285,34.669982911,13.744506835,126.6777851,46.39901324,5670.383971,5.060987993,267.8420235,104.5905236,30.677222,39.95588537
"Pseusth_humic_A12194","Pseusth_humic_A12194",-2.07077910504655,1.88668154342611,19.5914015284149,39,1125,2200,2150,31.2998962399999,24.1859130859999,14.227966308,152.30783,13.31720856,3825.876125,51.05870831,410.0825566,47.47442599,111.6243139,11.44171108
"Crani_baron_LSUMZ72777","Crani_baron_LSUMZ72777",-0.376550243649778,0.260956350745012,13.7167696824789,261,3100,4500,2800,8.72900390649988,5.46740722699985,6.52319335900005,100.5320998,77.09002229,511.6253894,38.52188356,1068.90313,212.7840916,56.8211462,80.12361159
"Crani_antsis_L441","Crani_antsis_L441",-0.376550243649778,0.260956350745012,13.7167696824789,304,2625,4400,3550,3.45780959049995,2.53127061699996,1.85307794699998,123.7212817,65.92545024,413.7403957,63.84665823,833.1529611,163.6496193,64.09182486,57.22620141
"Crani_eryops_H2081","Crani_eryops_H2081",-0.480155988057422,0.374917580572152,14.0930908546752,318,1225,2300,2150,4.84854126000008,11.0114746100001,12.3258667000001,202.6098732,39.32717935,353.3829285,172.4235307,3381.683035,814.0178071,39.40249623,453.7018989
"Crani_curta_L6032","Crani_curta_L6032",-0.575366250083536,0.464089403808247,14.4880352095088,543,1400,2300,1800,0.290344238000074,6.02587890600012,11.4710693360001,192.2374395,46.94037949,872.8780893,134.8662798,2006.609571,366.2065231,39.3573788,264.9496926
"Crani_subata_Ph301","Crani_subata_Ph301",-0.138502657850551,-0.198072961385785,13.6930147511063,245,1000,1950,1900,10.8132019040002,11.2932739250001,0.9601440419999,242.4929738,38.36315578,576.6126711,198.8834566,1482.073279,265.6282673,54.50331269,87.95174566
