"","species.richness","temp.mean","temp.median","temp.var","temp.stability1.mean","temp.stability1.median","temp.stability2.mean","temp.stability2.median","temp.seasonality.mean","temp.seasonality.median","temp.seasonality.var","temp.seasonality.stability1.mean","temp.seasonality.stability1.median","temp.seasonality.stability2.mean","temp.seasonality.stability2.median","max.temp.mean","max.temp.median","max.temp.var","max.temp.stability1.mean","max.temp.stability1.median","min.temp.mean","min.temp.median","min.temp.var","min.temp.stability1.mean","min.temp.stability1.median","precip.mean","precip.median","precip.var","precip.stability1.mean","precip.stability1.median","precip.stability2.mean","precip.stability2.median","precip.seasonality.mean","precip.seasonality.median","precip.seasonality.variance","precip.seasonality.stability1.mean","precip.seasonality.stability1.median","precip.seasonality.stability2.mean","precip.seasonality.stability2.median","precip.wettest.q.mean","precip.wettest.q.median","precip.wettest.q.var","precip.wettest.q.stability1.mean","precip.wettest.q.stability1.median","precip.wettest.q.stability2.mean","precip.wettest.q.stability2.median","precip.driest.q.mean","precip.driest.q.median","precip.driest.q.var","precip.driest.q.stability1.mean","precip.driest.q.stability1.median","precip.driest.q.stability2.mean","precip.driest.q.stability2.median"
"number.comparisons.trait0.bigger_25",18,28,27,22,15,17,20,21,17,15,15,12,15,14,14,22,19,19,15,14,25,23,17,16,17,17,18,25,20,19,18,17,10,12,25,13,16,17,14,17,17,17,20,20,22,20,24,20,15,21,18,23,23
"number.comparisons.trait1.bigger_25",24,21,21,42,34,37,53,44,36,39,34,40,45,41,43,26,26,33,40,39,18,17,40,40,44,35,30,41,35,31,38,46,52,52,42,45,42,39,44,35,29,49,37,35,28,32,28,34,29,34,34,30,30
"number.comparisons.trait0.equal.trait1_25",87,33,34,108,146,143,123,126,124,116,126,151,141,144,150,48,50,123,136,129,50,53,129,133,124,77,78,110,107,119,120,111,148,145,118,138,144,140,140,83,89,119,102,103,101,99,109,107,120,103,122,107,119
"median.proportion.in.state.zero_25",0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"median.ntax.diff.zero.minus.one_25",-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"pvalue.sign.test_25",0.440799067342597,0.391602910547491,0.470879013621712,0.0168581900442812,0.00939924152387309,0.00907334033958722,0.000141637072535527,0.00591843325261931,0.0126603358024142,0.00149625888539352,0.00939924152387309,0.000127538783855741,0.000134514080928496,0.00035528111863148,0.000153889022444343,0.665465812076621,0.371298034471012,0.0703942210670625,0.00101584719412529,0.000802330886894967,0.360377652935768,0.429590507843387,0.00320154376745039,0.00184155478849255,0.000729904510934768,0.017533235299085,0.111402891061019,0.0640175041372259,0.0580641467924093,0.118920452559436,0.0104548183218922,0.000336709349466238,5.71361373309309e-08,4.56661070044543e-07,0.0498001142947288,3.01159096291194e-05,0.000861782240542129,0.00456153274640824,0.000100496699269148,0.017533235299085,0.103805355504108,0.000101477123167989,0.0331439677875056,0.0580641467924093,0.479887661698328,0.126347075813922,0.677808639142461,0.0759047294891017,0.0487667659044747,0.104789482426604,0.0364834000083599,0.410102716374692,0.410102716374692
"pvalue.diversity.contrast.ratiolog_25",0.740511688501823,0.681430245086172,0.753589143064615,0.0063688308536495,0.000171922528363818,0.000172164604070199,1.37998288462885e-05,0.000975115824627086,0.00300392629777241,0.000111438492673968,0.00464524663728898,9.57404245820291e-05,7.32555069228903e-05,7.35890947668131e-05,1.178924971723e-05,0.718275206978056,0.390926376344374,0.024563767853593,0.000342935852206178,0.000239482371329397,0.501387420613269,0.693034381048915,0.00464796628627049,4.93438267744796e-05,2.41077308817401e-05,0.00995963645233265,0.0302207240562989,0.0246626175913433,0.0122913403590941,0.0135126925527251,0.00726755708130657,0.000371884452727626,8.43588829624821e-08,9.40645774141772e-08,0.0759522472004231,2.81631001641466e-05,0.000573486396843846,0.00148311663186576,0.000130463512430909,0.00715658003466502,0.0320078892514905,3.6426550730894e-05,0.0289795630626062,0.0285984706480969,0.266455451314259,0.071637771404944,0.437141216097003,0.0359471368270442,0.032860957771216,0.0864499436668458,0.00668234493838357,0.18528394573255,0.27411247907635
"pvalue.diversity.contrast.proportion_25",0.740511688501823,0.640371345720425,0.713626146432359,0.00526822378280849,0.000171922528363818,0.000172164604070199,2.35467001299227e-05,0.00141935806515534,0.00300392629777241,0.000111438492673968,0.00464524663728898,9.57404245820291e-05,7.32555069228903e-05,7.35890947668131e-05,1.178924971723e-05,0.782126808794968,0.387742801067816,0.0244250681846427,0.000534546024779667,0.000399223252594219,0.489777111557609,0.678015572342385,0.00464796628627049,3.54738107531018e-05,1.81308057616145e-05,0.0110461466865613,0.0318373542069776,0.0246626175913433,0.0119762464057804,0.0124394657255015,0.00640932726639234,0.000309386402794643,8.1815568029136e-08,9.31778551551734e-08,0.0759522472004231,2.81631001641466e-05,0.000573486396843846,0.00148311663186576,0.000130463512430909,0.00807507504606334,0.0344445875323425,4.08890504912157e-05,0.0259900856602082,0.0285984706480969,0.261487377181048,0.0717178894325566,0.437141216097003,0.0359471368270442,0.032860957771216,0.0864499436668458,0.00668234493838357,0.18528394573255,0.27411247907635
"pvalue.diversity.contrast.difference_25",0.685962580699414,0.566515605522341,0.633688978486036,0.00370175879243565,0.000171922528363818,0.000172164604070199,2.90515931014076e-05,0.0012020426733748,0.00402529082680304,0.000512111728435536,0.00668298157934958,7.41695342440586e-05,7.32555069228903e-05,8.63627808688299e-05,1.34665040901394e-05,0.769415538331924,0.763822402617582,0.0353104390275601,0.00096291130816729,0.000783618487552436,0.40841286374634,0.575987792241411,0.00333172917731212,1.37859337466783e-05,1.01913312822056e-05,0.0117264475759117,0.0323906688116508,0.0222131816886602,0.00882762556401975,0.0119171115147789,0.00545147470571487,0.0001363136269841,1.11820349641959e-07,1.1883782417871e-07,0.071495038590511,2.81631001641466e-05,0.000356795089324545,0.00187703928421149,0.00019899339518502,0.00813601129187694,0.0493724305669216,3.76750278207681e-05,0.0165422977753301,0.0181453086578972,0.202545126099473,0.0593132038497125,0.538639899014137,0.0197572066977085,0.022476978167289,0.0561603937425632,0.00340688910254527,0.164273097774074,0.212573510336728
"pvalue.diversity.contrast.logratio_25",0.740511688501823,0.640371345720425,0.713626146432359,0.00526822378280849,0.000171922528363818,0.000172164604070199,2.35467001299227e-05,0.00141935806515534,0.00300392629777241,0.000111438492673968,0.00464524663728898,9.57404245820291e-05,7.32555069228903e-05,7.35890947668131e-05,1.178924971723e-05,0.782126808794968,0.387742801067816,0.0244250681846427,0.000534546024779667,0.000399223252594219,0.489777111557609,0.678015572342385,0.00464796628627049,3.54738107531018e-05,1.81308057616145e-05,0.0110461466865613,0.0318373542069776,0.0246626175913433,0.0119762464057804,0.0124394657255015,0.00640932726639234,0.000309386402794643,8.1815568029136e-08,9.31778551551734e-08,0.0759522472004231,2.81631001641466e-05,0.000573486396843846,0.00148311663186576,0.000130463512430909,0.00807507504606334,0.0344445875323425,4.08890504912157e-05,0.0259900856602082,0.0285984706480969,0.261487377181048,0.0717178894325566,0.437141216097003,0.0359471368270442,0.032860957771216,0.0864499436668458,0.00668234493838357,0.18528394573255,0.27411247907635
