,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.species,notes
1,3314,Acanth_chlris_O3RIFL,Acanthisitta chloris,?,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta chloris,Acanthisittidae,,outgroup
2,3314,Acanth_chlris_O3RIFL,Acanthisitta chloris,?,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta chloris,Acanthisittidae,,outgroup
3,1597,Acroba_fon_L26329,Acrobatornis fonsecai,-,Acrobatornis fonsecai,Acrobatornis fonsecai,Acrobatornis fonsecai,Furnariidae,,
4,884,Acropt_ortnyx_L30027,Acropternis orthonyx,infuscatus,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,,
5,884,Acropt_ortnyx_L30027,Acropternis orthonyx,infuscatus,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,,
6,200000,Acropt_ortnyx_PhAMC1246,Acropternis orthonyx,orthonyx,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,,
7,884,Acropt_ortnyx_L30027,Acropternis orthonyx,infuscatus,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,,
8,200000,Acropt_ortnyx_PhAMC1246,Acropternis orthonyx,orthonyx,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Rhinocryptidae,,
9,2583,Agrior_albcau_L72330,Agriornis albicauda,albicauda,Agriornis albicauda,Agriornis albicauda,Agriornis albicauda,Tyrannidae,,
10,2583,Agrior_albcau_L72330,Agriornis albicauda,albicauda,Agriornis albicauda,Agriornis albicauda,Agriornis albicauda,Tyrannidae,,
11,2583,Agrior_albcau_L72330,Agriornis albicauda,albicauda,Agriornis albicauda,Agriornis albicauda,Agriornis albicauda,Tyrannidae,,
12,2585,Agrior_livid_YPM83046,Agriornis lividus,fortis,Agriornis lividus,Agriornis lividus,Agriornis lividus,Tyrannidae,,
13,2585,Agrior_livid_YPM83046,Agriornis lividus,fortis,Agriornis lividus,Agriornis lividus,Agriornis lividus,Tyrannidae,,
14,2587,Agrior_micro_A13502,Agriornis micropterus,micropterus,Agriornis micropterus,Agriornis micropterus,Agriornis micropterus,Tyrannidae,,
