"V1" "regions.vectors" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20"
"1" "Anaire_nigrosta_F391921" "00010001000000100000" 0 0 0 0.104210335593233 0 0 0 0.00197358202176213 0 0 0 0 0 0 0.0106187878675087 0 0 0 0 0
"2" "Anaire_ferna_CM120730" "00000000000000001000" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.6601165494387e-05 0 0 0
"3" "Anaire_parlus_A12192" "01011000100000101000" 0 0.462739696934901 0 0.48060879630827 0.0653700160750238 0 0 0.000497791736345338 0.547875252016908 0 0 0 0 0.00559517532447558 0.175615375115914 0 0.95215341980902 0 0 0.00707196249452059
"4" "Anaire_flaviro_CU52375" "01011001100000001000" 0 0.425503725759733 0 0.598306004295965 0.071122799759829 0 0 0.10212405886072 0.404539340226674 0 0 0 0 0.00292866624852176 0.00304614808041073 0 0.116444351118269 0 0 0
"5" "Anaire_alpin_NM34088" "00011001100000000000" 0 0 0 0.0286709297275319 0.000136711616047692 0 0 0.00446899824132281 0.0103463986518349 0 0 0 0 0 0 0 0 0 0 0
"6" "Capsie_flaveo_GCPEII12" "00101110000111100111" 0 0 0.654301077094913 0.0278583110871902 0.227539901025631 0.779180793503988 0.989304804646936 0.0143629328190841 0 0 0 0.30116277088732 0.925991253976084 0.277666533159644 0.345178106517133 0 0 0.272416860754138 0.101032770471149 0.560536746382247
"7" "Phaeo_murina_LSUMZ456" "00111110000111100100" 0.01912727741387 0.000398547003777264 0.899197715255058 0.403358057538245 0.729331006988333 0.436008470808596 0.477001949421604 0.211449882960446 0.0136472582646562 0 0 0.999852663606555 0.918374369209875 0.710736337675964 0.296615769986457 0 0 0.999942659869138 0.0384107453363358 0.265972524805412
"8" "Phaeo_murina_LSUMZ33372" "00111110000111100100" 0.01912727741387 0.000398547003777264 0.899197715255058 0.403358057538245 0.729331006988333 0.436008470808596 0.477001949421604 0.211449882960446 0.0136472582646562 0 0 0.999852663606555 0.918374369209875 0.710736337675964 0.296615769986457 0 0 0.999942659869138 0.0384107453363358 0.265972524805412
"9" "Phaeo_murina_LSUMZ180" "00111110000111100100" 0.01912727741387 0.000398547003777264 0.899197715255058 0.403358057538245 0.729331006988333 0.436008470808596 0.477001949421604 0.211449882960446 0.0136472582646562 0 0 0.999852663606555 0.918374369209875 0.710736337675964 0.296615769986457 0 0 0.999942659869138 0.0384107453363358 0.265972524805412
"10" "Nesotr_ridway_F299961" "00000000000000000010" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.27435813806905e-05 0
"11" "Phaeo_murina_L48589" "00111110000111100100" 0.01912727741387 0.000398547003777264 0.899197715255058 0.403358057538245 0.729331006988333 0.436008470808596 0.477001949421604 0.211449882960446 0.0136472582646562 0 0 0.999852663606555 0.918374369209875 0.710736337675964 0.296615769986457 0 0 0.999942659869138 0.0384107453363358 0.265972524805412
"12" "Phaeo_murina_LSUMZ48557" "00111110000111100100" 0.01912727741387 0.000398547003777264 0.899197715255058 0.403358057538245 0.729331006988333 0.436008470808596 0.477001949421604 0.211449882960446 0.0136472582646562 0 0 0.999852663606555 0.918374369209875 0.710736337675964 0.296615769986457 0 0 0.999942659869138 0.0384107453363358 0.265972524805412
"13" "Phaeo_murina_L90440" "00111110000111100100" 0.01912727741387 0.000398547003777264 0.899197715255058 0.403358057538245 0.729331006988333 0.436008470808596 0.477001949421604 0.211449882960446 0.0136472582646562 0 0 0.999852663606555 0.918374369209875 0.710736337675964 0.296615769986457 0 0 0.999942659869138 0.0384107453363358 0.265972524805412
"14" "Phymyi_gricep_SB14160" "00110000000011100001" 0 0 0.135705674311809 0.0690688054703886 0 0 0 0.0031316600911737 0 0 0 0.000280842610636034 0.18404387071049 0.0367356188563311 0.257128925169893 0 0 0 0 0.304822695208798
"15" "Phymyi_fastus_SP93548" "00001110000100000100" 0 0.00636899075828093 0 0 0.395008929203504 0.937653166990064 0.993868827920459 0 0 0 0 0.0441175708033798 0 0 0 0 0 0.997839986339294 0 0
"16" "Phymyi_weeden_L58430" "00010000000001000000" 0 0 0 0.0332059845739902 0 0 0 0 0 0 0 0 0 5.72402627642467e-05 0 0 0 0 0 0
"17" "Myiotri_orntus_H4556" "00010000000001100001" 0 0 0 0.0939937074973747 0 0 0 0.0033614300375309 0.000223054776949264 0 0 0 0 0.00796022796948881 0.337243737295982 0 0 0 0 0.0787985959269871
"18" "Myiotri_orntus_L43994" "00010000000001100001" 0 0 0 0.0939937074973747 0 0 0 0.0033614300375309 0.000223054776949264 0 0 0 0 0.00796022796948881 0.337243737295982 0 0 0 0 0.0787985959269871
"19" "Nephel_linton_L33971" "00000000000000100000" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.024441734434485 0 0 0 0 0
"20" "Nephel_ochven_L8296" "00010000100001000000" 0 0 0 0.179226295553454 0 0 0 0 0.016217499819114 0 0 0 0 0.0023133504718503 0 0 0 0 0 0
"21" "Nephel_pulher_H2495" "00010000000001100001" 0 0 0 0.0205067453662303 0 0 0 2.99394076325259e-05 0.00104166751133853 0 0 0 0.000157871414994517 0.00136039776791721 0.162327023146172 0 0 0 0 0.00650406334024923
"22" "Hirund_fernea_Y101003" "01111110100101100100" 0 0.119458720691955 0.260510583934712 0.566706196924456 0.749006920612442 0.993878835275339 0.999368206373955 0 0.137616877887484 0 0 0.330669832463881 0.0778897205007382 0.0829534268911115 0.272585927533292 0 0 0.992348394782342 0 0.00752404723129149
"23" "Hirund_fernea_SB10509" "01111110100101100100" 0 0.119458720691955 0.260510583934712 0.566706196924456 0.749006920612442 0.993878835275339 0.999368206373955 0 0.137616877887484 0 0 0.330669832463881 0.0778897205007382 0.0829534268911115 0.272585927533292 0 0 0.992348394782342 0 0.00752404723129149
"24" "Pyrrho_cinmeus_L8072" "00011000100011100000" 0 0 0.000146497298831981 0.425928995678341 0.0104270981050447 0 0 0.00147929810435959 0.029912958818687 0 0 0 0.0273950108483938 0.00853100724113462 0.519645815468823 0 0 0 0 0.0157756475005736
"25" "Pyrrho_cinmeus_AMNH388114" "00011000100011100000" 0 0 0.000146497298831981 0.425928995678341 0.0104270981050447 0 0 0.00147929810435959 0.029912958818687 0 0 0 0.0273950108483938 0.00853100724113462 0.519645815468823 0 0 0 0 0.0157756475005736
"26" "Pyrrho_cinmeus_FMNH262783" "00011000100011100000" 0 0 0.000146497298831981 0.425928995678341 0.0104270981050447 0 0 0.00147929810435959 0.029912958818687 0 0 0 0.0273950108483938 0.00853100724113462 0.519645815468823 0 0 0 0 0.0157756475005736
"27" "Tachur_rubstr_LSUMZ52319" "01011001100000001000" 0 0.942566376742069 0 0.165856763694866 0.0875820584768358 0.00132749535633792 0 0.218941335156256 0.240344733302571 0 0 0 0 0 0 0 0.447298355579743 0 0 0
"28" "Tachur_rubstr_S614701" "01011001100000001000" 0 0.942566376742069 0 0.165856763694866 0.0875820584768358 0.00132749535633792 0 0.218941335156256 0.240344733302571 0 0 0 0 0 0 0 0.447298355579743 0 0 0
"29" "Tachur_rubstr_LSUMZ48210" "01011001100000001000" 0 0.942566376742069 0 0.165856763694866 0.0875820584768358 0.00132749535633792 0 0.218941335156256 0.240344733302571 0 0 0 0 0 0 0 0.447298355579743 0 0 0
"30" "Platyr_cortus_L11136" "00100000000111100011" 0 0 0.880058717367692 0.115586897184571 0.0106795711745578 0 0 0 0 0 0 0.425798533757603 0.148421750716015 0.874541214546038 0.125730108812572 0 0 0 0.168805999729662 0.460215442268165
"31" "Platyr_cancro_SB1165" "00000000000000010010" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0470869856179168 0 0 0.545909436204571 0
"32" "Platyr_mysceu_MZUSP85760" "00111110000111100101" 0.0201988125467264 0.00665954479106846 0.252963162199357 0.238433044975235 0.55301557332515 0.972092576740479 0.993868639602943 0.00158258932839402 0.00317805479565345 0 0 0.102328164124832 0.363416762531305 0.068648959487708 0.412313646328985 0 0 0.998564981679137 0.0252879427312515 0.573924147514997
"33" "Platyr_mysceu_MZUSPALG159" "00111110000111100101" 0.0201988125467264 0.00665954479106846 0.252963162199357 0.238433044975235 0.55301557332515 0.972092576740479 0.993868639602943 0.00158258932839402 0.00317805479565345 0 0 0.102328164124832 0.363416762531305 0.068648959487708 0.412313646328985 0 0 0.998564981679137 0.0252879427312515 0.573924147514997
"34" "Platyr_mysceu_MZUSP85833" "00111110000111100101" 0.0201988125467264 0.00665954479106846 0.252963162199357 0.238433044975235 0.55301557332515 0.972092576740479 0.993868639602943 0.00158258932839402 0.00317805479565345 0 0 0.102328164124832 0.363416762531305 0.068648959487708 0.412313646328985 0 0 0.998564981679137 0.0252879427312515 0.573924147514997
"35" "Platyr_mysceu_MZUSP85805" "00111110000111100101" 0.0201988125467264 0.00665954479106846 0.252963162199357 0.238433044975235 0.55301557332515 0.972092576740479 0.993868639602943 0.00158258932839402 0.00317805479565345 0 0 0.102328164124832 0.363416762531305 0.068648959487708 0.412313646328985 0 0 0.998564981679137 0.0252879427312515 0.573924147514997
"36" "Platyr_mysceu_MZUSP85745" "00111110000111100101" 0.0201988125467264 0.00665954479106846 0.252963162199357 0.238433044975235 0.55301557332515 0.972092576740479 0.993868639602943 0.00158258932839402 0.00317805479565345 0 0 0.102328164124832 0.363416762531305 0.068648959487708 0.412313646328985 0 0 0.998564981679137 0.0252879427312515 0.573924147514997
"37" "Platyr_mysceu_MZUSPALG39" "00111110000111100101" 0.0201988125467264 0.00665954479106846 0.252963162199357 0.238433044975235 0.55301557332515 0.972092576740479 0.993868639602943 0.00158258932839402 0.00317805479565345 0 0 0.102328164124832 0.363416762531305 0.068648959487708 0.412313646328985 0 0 0.998564981679137 0.0252879427312515 0.573924147514997
"38" "Platyr_mysceu_K57" "00111110000111100101" 0.0201988125467264 0.00665954479106846 0.252963162199357 0.238433044975235 0.55301557332515 0.972092576740479 0.993868639602943 0.00158258932839402 0.00317805479565345 0 0 0.102328164124832 0.363416762531305 0.068648959487708 0.412313646328985 0 0 0.998564981679137 0.0252879427312515 0.573924147514997
"39" "Platyr_mysceu_MZUSP92484" "00111110000111100101" 0.0201988125467264 0.00665954479106846 0.252963162199357 0.238433044975235 0.55301557332515 0.972092576740479 0.993868639602943 0.00158258932839402 0.00317805479565345 0 0 0.102328164124832 0.363416762531305 0.068648959487708 0.412313646328985 0 0 0.998564981679137 0.0252879427312515 0.573924147514997
